%HTA01.xlt		3 mS Echo Tracking			
%c-PRE	c-DIAM	c-ECG	f-PRE	f-DIAM	f-ECG
100.4430466	6.364999771	0.1087	115.624588	8.734000206	-0.04518
100.2928009	6.361000061	0.167300001	115.6674347	8.734000206	-0.04518
100.1854782	6.359000206	0.233199999	115.6674347	8.734000206	-0.04518
100.0352325	6.355999947	0.299100012	115.6674347	8.732999802	-0.04518
99.97084045	6.353000164	0.367500007	115.6674347	8.732999802	-0.04518
99.82058716	6.349999905	0.416399986	115.6674347	8.732000351	-0.04518
99.75619507	6.347000122	0.45539999	115.6674347	8.732000351	-0.047619998
99.67034149	6.343999863	0.474999994	115.6674347	8.732000351	-0.04518
99.56302643	6.34100008	0.474999994	115.6674347	8.730999947	-0.042739999
99.45570374	6.337999821	0.460299999	115.6674347	8.730999947	-0.042739999
99.28398895	6.335000038	0.428600013	115.6674347	8.730999947	-0.04518
99.24106598	6.333000183	0.389499992	115.6674347	8.729999542	-0.042739999
99.13374329	6.330999851	0.340700001	115.6674347	8.729999542	-0.042739999
99.02642059	6.328999996	0.291799992	115.6674347	8.729999542	-0.040290002
98.98348999	6.326000214	0.240500003	115.6674347	8.729000092	-0.040290002
98.83324432	6.323999882	0.191699997	115.6674347	8.729000092	-0.040290002
98.66153717	6.322000027	0.150199994	115.6674347	8.727999687	-0.042739999
98.51128387	6.320000172	0.1087	115.6674347	8.727999687	-0.040290002
98.36103821	6.31799984	0.076920003	115.6674347	8.727999687	-0.040290002
98.18933105	6.315999985	0.04518	115.7317123	8.727999687	-0.03785
98.03907776	6.313000202	0.02076	115.6674347	8.727999687	-0.035409998
97.88883209	6.311999798	-0.003663	115.6674347	8.727000237	-0.035409998
97.67418671	6.309999943	-0.0232	115.6674347	8.727000237	-0.03297
97.56687164	6.308000088	-0.035409998	115.7317123	8.727000237	-0.03053
97.45954895	6.304999828	-0.047619998	115.7317123	8.725999832	-0.02808
97.45954895	6.302999973	-0.052499998	115.7317123	8.727000237	-0.02564
97.50247955	6.301000118	-0.062270001	115.7317123	8.725999832	-0.02564
97.67418671	6.297999859	-0.064709999	115.6674347	8.725999832	-0.0232
97.88883209	6.296999931	-0.067160003	115.6674347	8.725999832	-0.02076
97.97468567	6.295000076	-0.072039999	115.6674347	8.725000381	-0.015869999
98.14640045	6.293000221	-0.069600001	115.7317123	8.725999832	-0.01343
98.08200836	6.290999889	-0.069600001	115.7317123	8.725000381	-0.01343
98.03907776	6.289000034	-0.067160003	115.7317123	8.725999832	-0.01343
97.88883209	6.287000179	-0.064709999	115.6674347	8.725000381	-0.01343
97.7815094	6.285999775	-0.059829999	115.7317123	8.723999977	-0.01099
97.71711731	6.282999992	-0.059829999	115.7317123	8.723999977	-0.008547
97.67418671	6.281000137	-0.057390001	115.7317123	8.723999977	-0.006105
97.7815094	6.278999805	-0.054949999	115.7317123	8.723999977	-0.003663
97.93175507	6.27699995	-0.052499998	115.7317123	8.722999573	-0.001221
98.25372314	6.275000095	-0.05006	115.6674347	8.722999573	0.001221
98.66153717	6.274000168	-0.047619998	115.7317123	8.722000122	0.001221
99.39131165	6.272999763	-0.04518	115.7317123	8.722000122	0.003663
100.2284088	6.270999908	-0.042739999	115.7317123	8.720999718	0.003663
101.3874664	6.269000053	-0.042739999	115.7317123	8.720000267	0.003663
102.7611542	6.267000198	-0.042739999	115.7317123	8.720000267	0.006105
104.3280258	6.264999866	-0.040290002	115.7317123	8.720000267	0.006105
106.1524658	6.263999939	-0.03785	115.7317123	8.718999863	0.008547
108.0412979	6.262000084	-0.03785	115.7317123	8.718000412	0.01099
110.1018448	6.261000156	-0.03297	115.7317123	8.717000008	0.01099
112.1409225	6.258999825	-0.02808	115.6674347	8.718000412	0.01099
